Comunidad y ciudad autónoma de residencia;Causas (lista reducida);Sexo;Edad;Total
Total;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;3.145
Andalucía;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;685
Aragón;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;95
Asturias, Principado de;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;149
Balears, Illes;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;96
Canarias;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;156
Cantabria;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;20
Castilla y León;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;216
Castilla-La Mancha;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;141
Cataluña;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;411
Comunitat Valenciana;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;397
Extremadura;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;79
Galicia;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;275
Madrid, Comunidad de;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;122
Murcia, Región de;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;89
Navarra, Comunidad Foral de;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;39
País Vasco;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;126
Rioja, La;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;17
Ceuta;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;4
Melilla;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;1
Extranjero;098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;27
